Username;GivenName;SurName;UserPrincipalName;DisplayName;Password;Department;Path
olanor;Ola;Nordmann;Ola.Nordmann@InfraIT.sec;Ola Nordmann;sr_2!sdffdf32ad;HR;"OU=HR,OU=InfraIT_users,DC=InfraIT,DC=sec"
karnor;Kari;Nordmann;Kari.Nordmann@InfraIT.sec;Kari Nordmann;sr_2!fdfgsg32ad;IT;"OU=IT,OU=InfraIT_users,DC=InfraIT,DC=sec"
maykar;Maya;Karlsen;Maya.Karlsen@InfraIT.sec;Maya Karlsen;sr_2!fdfgsg32ad;IT;"OU=IT,OU=InfraIT_users,DC=InfraIT,DC=sec"
hasjoh;Hans;Johansen;Hans.Johansen@InfraIT.sec;Hans Johansen;sr_2!fdfgsg32ad;Sale;"OU=Sales,OU=InfraIT_users,DC=InfraIT,DC=sec"
perhen;Pernille;Hansen;Pernille.Hansen@InfraIT.sec;Pernille Hansen;sr_2!fdfgsg32ad;Sale;"OU=Sales,OU=InfraIT_users,DC=InfraIT,DC=sec"
svenil;Svein;Nilsen;Svein.Nilsen@InfraIT.sec;Svein Nilsen;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
frapet;Frank;Pettersen;Frank.Pettersen@InfraIT.sec;Frank Pettersen;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
stihen;Stine;Henriksen;Stine.Henriksen@InfraIT.sec;Stine Henriksen;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
larsve;Lars;Svendsen;Lars.Svendsen@InfraIT.sec;Lars Svendsend;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
nilbo;Nils;Bo;Nils.Bo@InfraIT.sec;Nils Bo;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
inglar;Ingrid;Larsen;Ingrid.Larsn@InfraIT.sec;Ingrid Larsen;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
johand;Johannes;Andersen;Johannes.Andersen@InfraIT.sec;Johannes Andersen;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
heieri;Heidi;Eriksen;Heidi.Eriksen@InfraIT.sec;Heidi Eriksen;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
torlyn;Tore;Lyngra;Tore.Lyngra@InfraIT.sec;Tore Lyngra;sr_2!fdfgsg32ad;Dev;"OU=Consultants,OU=InfraIT_users,DC=InfraIT,DC=sec"
gurjen;Guri;Jensen;Guri.Jensen@InfraIT.sec;Guri Jensen;sr_2!fdfgsg32ad;Finance;"OU=Finance,OU=InfraIT_users,DC=InfraIT,DC=sec"
