"givenName","surName","Department","phone"
"Hans","Hansen","HR","12345678"
"Lena","Larsen","Consultants","87654321"
"Erik","Eriksen","Sales","12345623"
"Anna","Andersen","Sales","12313445"
"Ola","Olsen","Finance","98765321"
"Åge","Solheim","Consultants","12335478"
"Frikk","Frikkson","Consultants","12233484"
"Per","Person","Consultants","12123371"
"Synne","Synnesdatter","Consultants","16545678"
"André","Andresen","Consultants","12343278"
"Frank","Viken","Consultants","98345678"
"Heidi","Jensen","IT","56345678"
"Terje","Færjeland","IT","15565678"
